月份,订单数,月销售额,月利润
1,159,222862.82900000014,33526.268999999986
2,184,285475.4279999999,34466.908
3,225,399711.7809999999,56542.521000000015
4,195,333398.31699999975,32704.07700000002
5,377,632800.35,68430.67000000004
6,370,565523.4269999999,81670.26699999995
7,174,340308.682,58861.92199999999
8,343,588746.3540000003,55773.07399999995
9,311,502799.25500000024,80341.27500000007
10,348,577450.3210000002,72686.6210000001
11,314,468822.5429999997,31554.382999999987
12,377,544539.1000000007,74556.44000000002
